[0.00s -> 29.36s]  I don't know.
[365.42s -> 368.42s]  But it's not up to date.
[368.42s -> 370.42s]  It's not complete.
[370.42s -> 372.42s]  And Dora asks many questions.
[372.42s -> 377.42s]  Many more details that we don't have even today.
[377.42s -> 379.42s]  What we have to think about.
[379.42s -> 385.42s]  For example, how difficult is it to change provider?
[385.42s -> 386.42s]  And you have choices.
[386.42s -> 388.42s]  One, two, three.
[388.42s -> 394.42s]  So this is something that we have to think about and choose.
[394.42s -> 397.42s]  So we need criteria to choose.
[397.42s -> 400.42s]  Because otherwise he will say very difficult.
[400.42s -> 401.42s]  And Dora will say easy.
[401.42s -> 405.42s]  And so we have to use criteria.
[405.42s -> 412.42s]  Or what is an alternative provider for this service?
[412.42s -> 422.42s]  So for each contract we have to say for which business function is this contract necessary?
[422.42s -> 428.42s]  What kind of IS service is this contract delivering?
[428.42s -> 430.42s]  Is it a critical service or not?
[430.42s -> 437.42s]  If it's critical, then we need all the complete supply chain.
[437.42s -> 441.42s]  It means subcontractors we also need to know.
[441.42s -> 443.42s]  So we have to ask Microsoft.
[443.42s -> 446.42s]  All the subcontractors of Microsoft.
[446.42s -> 449.42s]  Can you imagine how crazy this is?
[449.42s -> 452.42s]  And those subcontractors, they also have subcontractors.
[452.42s -> 454.42s]  So they want to know the whole chain.
[454.42s -> 456.42s]  The supply chain for the subcontractors.
[456.42s -> 457.42s]  Yes.
[457.42s -> 458.42s]  Because the service is critical.
[458.42s -> 459.42s]  Yes.
[459.42s -> 461.42s]  Because only for the critical service.
[461.42s -> 463.42s]  Only for the critical service.
[463.42s -> 466.42s]  So now we are starting an exercise.
[466.42s -> 468.42s]  We are busy with it.
[468.42s -> 472.42s]  To define what are the critical business functions.
[472.42s -> 474.42s]  In the company.
[474.42s -> 475.42s]  In the bank.
[475.42s -> 476.42s]  In the insurer.
[476.42s -> 477.42s]  Because we are a bank insurer.
[477.42s -> 479.42s]  So bank, insurance, asset management.
[479.42s -> 481.42s]  All the business lines.
[481.42s -> 484.42s]  We are investigating what are the business functions.
[484.42s -> 485.42s]  First of all.
[485.42s -> 488.42s]  Because on the level of business line.
[488.42s -> 491.42s]  We have 65 business lines defined.
[491.42s -> 493.42s]  It's a very high level.
[493.42s -> 494.42s]  For example.
[494.42s -> 495.42s]  KPC.
[495.42s -> 497.42s]  Asset management.
[497.42s -> 500.42s]  Who is managing mutual funds.
[500.42s -> 501.42s]  Funds.
[501.42s -> 502.42s]  Portfolios.
[502.42s -> 503.42s]  Investment portfolio.
[503.42s -> 504.42s]  Etc.
[504.42s -> 505.42s]  It's only one business line.
[505.42s -> 508.42s]  If you say this is critical.
[508.42s -> 513.42s]  Then everything below becomes critical.
[513.42s -> 514.42s]  Okay.
[514.42s -> 515.42s]  Automatically.
[515.42s -> 516.42s]  Which is in reality.
[516.42s -> 517.42s]  Not the fact.
[517.42s -> 519.42s]  Because certain functions.
[519.42s -> 521.42s]  Certain activities of asset management are critical.
[521.42s -> 523.42s]  But others are not.
[523.42s -> 524.42s]  Okay.
[524.42s -> 526.42s]  So we need a lower level of detail.
[526.42s -> 528.42s]  And sometimes we have it.
[528.42s -> 530.42s]  Sometimes we don't have it.
[530.42s -> 531.42s]  And it has to be made.
[531.42s -> 534.42s]  So this exercise which is starting up now.
[534.42s -> 538.42s]  And then if we have this lower level of detail.
[538.42s -> 540.42s]  We can even go more lower.
[540.42s -> 542.42s]  But then at this lower level.
[542.42s -> 543.42s]  You can connect.
[543.42s -> 546.42s]  Or we have to connect the business applications.
[546.42s -> 547.42s]  The software.
[547.42s -> 548.42s]  The business applications.
[548.42s -> 549.42s]  To the business function.
[549.42s -> 550.42s]  We have to connect it.
[550.42s -> 551.42s]  So for example.
[551.42s -> 552.42s]  Murex.
[552.42s -> 553.42s]  The software Murex.
[553.42s -> 554.42s]  Is working for the dealing room.
[554.42s -> 555.42s]  Yeah.
[555.42s -> 556.42s]  A certain activity in the dealing room.
[556.42s -> 557.42s]  This activity seems to be critical.
[557.42s -> 558.42s]  So Murex is critical.
[558.42s -> 559.42s]  For business applications.
[559.42s -> 560.42s]  Yeah.
[560.42s -> 561.42s]  And then who is the provider of this software?
[561.42s -> 562.42s]  It's Murex.
[562.42s -> 563.42s]  And then we go.
[563.42s -> 564.42s]  We go down.
[564.42s -> 565.42s]  We go further.
[565.42s -> 566.42s]  And the question is.
[566.42s -> 567.42s]  What is Murex?
[567.42s -> 568.42s]  What is Murex?
[568.42s -> 569.42s]  What is Murex?
[569.42s -> 570.42s]  What is Murex?
[570.42s -> 571.42s]  What is Murex?
[571.42s -> 572.42s]  What is Murex?
[572.42s -> 573.42s]  What is Murex?
[573.42s -> 574.42s]  What is Murex?
[574.42s -> 575.42s]  What is Murex?
[575.42s -> 576.42s]  What is Murex?
[576.42s -> 577.42s]  And then we go.
[577.42s -> 581.74s]  And the criteria to consider some companies are critical.
[581.74s -> 582.74s]  They are.
[582.74s -> 586.02s]  They are in templates ECB.
[586.02s -> 587.34s]  ECB?
[587.34s -> 589.50s]  Well the definition.
[589.50s -> 591.76s]  The definition is very vague.
[591.76s -> 592.76s]  Right.
[592.76s -> 594.42s]  We cannot use it.
[594.42s -> 595.42s]  Yeah.
[595.42s -> 596.42s]  So.
[596.42s -> 597.42s]  But.
[597.42s -> 599.08s]  But that's not your problem.
[599.08s -> 600.08s]  Yeah.
[600.08s -> 601.08s]  It's our problem.
[601.08s -> 602.08s]  Of course.
[602.08s -> 603.48s]  But we have to come up.
[603.48s -> 604.48s]  In fact.
[604.48s -> 605.38s]  They say.
[605.38s -> 616.50s]  function if it stops to work and it endangers the continuity of the service of your business
[616.50s -> 630.22s]  but they are busy with it why am i explaining this because you will see that well you will
[630.22s -> 637.34s]  be building this register of information this contract register yeah not building making the
[637.34s -> 646.22s]  analysis yeah so you need some context information that's why i give it to you sure so now they are
[646.22s -> 652.54s]  starting to define what are the critical business functions which are not to link the business
[652.54s -> 657.82s]  applications and below the business applications either we build them ourselves it's in-house build
[658.38s -> 660.06s]  then it's not in scope of dora
[660.78s -> 665.58s]  in-house built yeah of course it's in scope of other pillars of dora but not for a third party
[667.90s -> 675.58s]  or if they are provided by a by a vendor then of course we need to connect the contracts
[676.14s -> 687.26s]  to this to this business application and it becomes even more complex because for ibm we found
[687.90s -> 689.34s]  48 contracts
[690.22s -> 698.30s]  one better than the question 48 microsoft even more so we the first thing we have to ask is
[698.94s -> 705.82s]  which of those contracts are relevant to report to the regulator which are relevant
[707.50s -> 712.06s]  which we don't need to report because it was yeah it was
[712.06s -> 719.90s]  one consultant who worked for one month to make a presentation of whatever yes it's not it's not
[720.30s -> 723.82s]  it's not related to a business a particular business function
[724.62s -> 730.38s]  your contract is also it is a pain it's not relevant yeah because if you would have to
[730.38s -> 737.02s]  report all consultants then we have yes it's not possible it's it's a but we work together with
[737.90s -> 744.14s]  indian company who delivers 500 ideas in india yeah yeah this contract
[744.70s -> 748.38s]  is very relevant because if they stop working then we have an issue
[749.90s -> 757.50s]  doing maintenance of the entire application portfolio so but we have to decide when it
[757.50s -> 765.58s]  becomes relevant when not it's a decision that has to be taken group risk group legal is involved
[767.34s -> 774.30s]  procurement is involved so therefore and because we are talking about many many contracts therefore
[774.30s -> 783.26s]  we must hire a number of legal legal guys so i asked to to look internally
[783.26s -> 788.70s]  if we have some legal guys available we are now looking in bruno in czech republic
[788.70s -> 795.50s]  they have some legal guys there in the shared service center so all of these are things in
[795.50s -> 803.74s]  my program that needs that need to be done so um to consider some contracts is a critical
[804.62s -> 811.98s]  relevance we need some criteria and this criteria they are written down yeah so we have
[811.98s -> 819.66s]  we have a business impact analysis template template and the business function
[820.54s -> 825.98s]  has to be the bia score has to be done for each of the business functions
[826.86s -> 834.14s]  and the bia template is really a template where it asks is your service if something happens
[834.30s -> 841.10s]  what how big is the loss etc so okay we have some great criteria that the people the local
[841.10s -> 847.66s]  operational risk managers in each business department must fill must use the bia template
[847.66s -> 853.82s]  fill it in okay and the outcome will say it if it's critical or not okay so this is an exercise
[853.82s -> 860.62s]  that needs to happen now yes yeah they do it every year but now they have changed the template they
[860.62s -> 864.14s]  have adapted the template to the dora okay
[864.30s -> 870.86s]  legislation and of dora legislation we have some templates with all these criteria okay
[871.50s -> 878.86s]  dora doesn't give any template for the criteria we have to do it ourselves dora says it's your
[878.86s -> 885.50s]  responsibility it's you who is best placed to see if something is critical or not
[886.70s -> 893.90s]  we cannot do it as a regulator we cannot say this is critical for you because for example leasing
[894.46s -> 902.30s]  car leasing yeah is not critical in belgium but it is critical in slovak republic because it's a
[902.30s -> 907.98s]  very big part of their business okay so the regulator doesn't know this information so
[908.54s -> 918.78s]  he can say there are certain activities which have to be critical and we call them systemic
[918.78s -> 921.90s]  relution the systemic revolution board
[924.54s -> 929.42s]  yeah it's a lot of information uh so yes no problem so srb
[931.98s -> 938.22s]  is a regulation from years ago where the ecb wanted to know
[939.26s -> 947.02s]  if something serious happens with kbc or with any systemic bank important bank
[947.90s -> 953.18s]  important means if the bank stops working it endangers the economy of a country
[954.30s -> 960.62s]  if kbc stops working tomorrow for example and something happens a run on the bank
[961.18s -> 969.10s]  you don't have enough money anymore blah blah blah yeah then the economy is destabilized because
[969.10s -> 978.54s]  people cannot lend money anymore enterprises will stop working no credits etc etc so ecb said
[980.54s -> 982.94s]  we want to know all the activities
[985.02s -> 993.10s]  have to take over in case kbc comes into problems okay so if kbc is not
[997.10s -> 1002.30s]  cannot continue its its service anymore for some reason
[1003.26s -> 1010.78s]  the regulator will appoint another bank to take over the most critical activities
[1011.58s -> 1013.18s]  okay so that the
[1013.34s -> 1018.94s]  the economy and the financial system can continue okay it's not destabilized
[1020.14s -> 1025.34s]  so for example if belfius comes into a problem then the ecb will appoint another bank
[1025.34s -> 1034.06s]  you kpc or you bmp paribas or ing you will continue with the services of belfius
[1034.06s -> 1042.06s]  which analysis impact analysis yes yeah so these activities which are which are known
[1043.18s -> 1049.82s]  main most important activities they are known Dora says these activities at
[1049.82s -> 1058.28s]  least are also critical for Dora but we need more activities critical because
[1058.28s -> 1065.58s]  these are only in case of major disaster we have to take over the company in the
[1065.58s -> 1070.42s]  bank these activities are very critical but we suppose there are other
[1070.42s -> 1078.70s]  activities that are also critical yeah but not vital to the system vital for
[1078.70s -> 1087.52s]  your existence of the company so this is now busy yeah it started up it's we have
[1087.52s -> 1095.50s]  a deloitte on it also to support us in this exercise yes and the outcome of
[1095.50s -> 1100.40s]  course of critical or not critical will have a big impact on the level
[1100.40s -> 1107.16s]  of detail that will be in the register of information because for each critical
[1107.16s -> 1112.80s]  business function we need this whole supply chain and other details that we
[1112.80s -> 1119.52s]  don't need in non-critical business functions
[1121.98s -> 1126.26s]  so for the
[1129.04s -> 1130.04s]  analysis
[1130.40s -> 1137.60s]  this is teams I don't know if you if you are familiar with teams Microsoft teams
[1137.60s -> 1150.74s]  yes I think it's clear so we have here teams site Dora implementation yeah you
[1150.74s -> 1157.04s]  are already part of this you are already member
[1160.40s -> 1162.46s]  of the team you are very dils可能 den out
[1162.46s -> 1166.80s]  can I search my BC to say to connect no
[1166.80s -> 1169.86s]  with such my
[1169.86s -> 1178.32s]  I remember this site I made you a member of this
[1178.32s -> 1186.22s]  yeah the SharePoint website the SharePoint yeah so if we go them to files
[1186.22s -> 1187.84s]  here
[1187.84s -> 1189.68s]  a lot of followers no I will order peer front end yeah yeah so I'm a patient I'm a patient no no I'm on the share point your site we will send it to you so if we go them to files here this is not possible
[1189.68s -> 1191.24s]  I will search for my place.
[1191.34s -> 1191.52s]  Yeah.
[1219.68s -> 1232.70s]  Yeah, but I think he's now already at the A cream.
[1238.50s -> 1239.18s]  Yep.
[1241.28s -> 1241.94s]  My girl.
[1243.76s -> 1244.62s]  Test, test, test.
[1249.68s -> 1261.44s]  And it's you that just.
[1279.68s -> 1309.66s]  Oh, my God.
[1309.68s -> 1311.68s]  Okay.
[1339.68s -> 1341.68s]  Okay.
[1369.68s -> 1371.68s]  Okay.
[1399.68s -> 1401.68s]  Okay.
[1409.68s -> 1419.68s]  Yeah.
[1419.68s -> 1421.06s]  Okay.
[1429.68s -> 1433.30s]  Just one second.
[1433.62s -> 1433.82s]  Yeah.
[1435.32s -> 1436.12s]  Yeah.
[1436.32s -> 1437.28s]  Record my screen.
[1437.28s -> 1437.36s]  Okay.
[1451.68s -> 1458.74s]  Just to record my screen, because in PowerPoint, we can have, for me,
[1458.74s -> 1459.66s]  we can.
[1459.68s -> 1460.76s]  Maybe just the screen.
[1467.76s -> 1468.82s]  I think I got.
[1469.14s -> 1469.84s]  No, no, no.
[1469.98s -> 1470.36s]  Skip?
[1470.72s -> 1470.88s]  No.
[1474.32s -> 1474.88s]  No.
[1475.38s -> 1475.94s]  No.
[1477.20s -> 1479.60s]  No, no, no, no, no, no.
[1479.60s -> 1479.68s]  No.
[1480.70s -> 1481.06s]  No.
[1486.06s -> 1489.32s]  Maybe your act is right or not.
[1489.68s -> 1497.92s]  right okay look this is the one that you got access from me
[1497.92s -> 1506.08s]  so the thing with here uh okay good this is not included in the profile no
[1517.52s -> 1517.84s]  see
[1522.56s -> 1524.24s]  yeah but it's good
[1527.92s -> 1538.08s]  you
[1538.08s -> 1540.24s]  are part of this thing
[1546.16s -> 1551.52s]  you are here so it's a little strange why i don't get this
[1554.16s -> 1556.08s]  number of this
[1557.92s -> 1564.64s]  but maybe if you want and then he has already
[1568.08s -> 1570.08s]  uh
[1580.88s -> 1582.08s]  good
[1584.08s -> 1586.08s]  okay
[1586.08s -> 1587.76s]  yeah now it's there
[1588.48s -> 1588.80s]  yes
[1593.20s -> 1597.44s]  oh wait wait wait wait okay so regulations and directives
[1598.08s -> 1598.24s]  yeah
[1600.56s -> 1609.28s]  that's the folder uh if you can yeah if you can modify new to older when you see the latest
[1610.72s -> 1613.12s]  so these are the legal texts yeah
[1614.56s -> 1615.76s]  whoop okay
[1616.08s -> 1617.76s]  okay so the ones
[1618.08s -> 1628.96s]  who are um important for you is this one the final report on the draft implementation technical
[1628.96s -> 1636.00s]  standard how you should implement the register of information so this text we have to read okay
[1636.00s -> 1645.12s]  from the beginning till the end yeah okay you can print it out whatever you can do
[1645.28s -> 1648.16s]  um
[1648.16s -> 1655.04s]  let's go so okay this is blah blah yeah and then
[1656.16s -> 1657.54s]  the technical standards
[1657.92s -> 1663.04s]  saving
[1663.04s -> 1667.76s]  so here you see for example how they define the relational model
[1668.64s -> 1669.36s]  for the different
[1669.84s -> 1671.92s]  each RT is a template
[1672.48s -> 1673.66s]  each RT is a template
[1673.66s -> 1674.00s]  okay
[1674.00s -> 1675.12s]  is a template that we have to be
[1675.12s -> 1678.02s]  able to deliver to European Central Bank.
[1678.02s -> 1679.76s]  Just one more question.
[1679.76s -> 1686.06s]  These templates, all these templates
[1686.06s -> 1689.06s]  are provided by ECB.
[1689.06s -> 1692.52s]  Yeah, this is document of ECB.
[1692.52s -> 1696.08s]  But you could say, oh, we make a table.
[1696.08s -> 1701.22s]  We make just a table for each template, and then we have it.
[1701.22s -> 1706.50s]  But then we are not, because you have a contract template,
[1706.50s -> 1711.72s]  and they mention the vendor name, the name of the vendor,
[1711.72s -> 1714.54s]  and all the information of this vendor.
[1714.54s -> 1715.96s]  So for each contract, we are going
[1715.96s -> 1718.36s]  to double all this information?
[1718.36s -> 1719.36s]  No.
[1719.36s -> 1724.44s]  So we will have probably a table for vendor information,
[1724.44s -> 1728.80s]  and we'll just refer with an ID of this vendor in the contract,
[1728.80s -> 1731.22s]  and not repeat vendor provider.
[1731.22s -> 1732.70s]  For example, a vendor?
[1732.70s -> 1733.20s]  Microsoft.
[1733.20s -> 1735.54s]  Microsoft, OK.
[1735.54s -> 1739.86s]  So Microsoft has a unique legal entity identifier.
[1739.86s -> 1744.74s]  It's a number, like tax number, VAT number.
[1744.74s -> 1745.24s]  Unique.
[1745.24s -> 1746.62s]  But it is a unique number.
[1746.62s -> 1747.12s]  Information.
[1747.12s -> 1747.62s]  European.
[1747.62s -> 1749.00s]  To identify the vendor.
[1749.00s -> 1751.96s]  Yes, to identify, because you have Microsoft in the States,
[1751.96s -> 1755.44s]  and Microsoft in Belgium are different legal entities.
[1755.44s -> 1760.80s]  So each legal entity has a unique number, which is a key.
[1760.80s -> 1763.56s]  And in the contract, we can refer to this number.
[1763.56s -> 1766.50s]  But then in another table, this is your data modeling
[1766.50s -> 1767.18s]  that you have to do.
[1767.18s -> 1770.26s]  In another table, we will have then
[1770.26s -> 1774.80s]  all the information of Microsoft as a provider, as a vendor.
[1774.80s -> 1778.92s]  Not related to the contract, but just where is Microsoft,
[1778.92s -> 1782.32s]  in which country, blah, blah, blah, et cetera.
[1782.32s -> 1785.82s]  And for this information, I must search
[1785.82s -> 1789.16s]  after this information on the internet?
[1789.16s -> 1789.66s]  No.
[1789.66s -> 1790.16s]  No.
[1790.16s -> 1790.66s]  No.
[1790.66s -> 1791.78s]  You will get it.
[1791.78s -> 1793.28s]  OK.
[1793.28s -> 1794.66s]  You will get the information.
[1794.66s -> 1795.20s]  Perfect.
[1795.20s -> 1795.76s]  Yes.
[1795.76s -> 1803.06s]  So this is just structure that they say, OK, now you can read it, blah, blah, blah.
[1803.06s -> 1807.58s]  These are then the different templates with some very small description.
[1807.58s -> 1808.08s]  Yes.
[1808.08s -> 1808.58s]  Yeah.
[1808.58s -> 1810.52s]  And this template is detailed in the?
[1810.52s -> 1813.54s]  And it's further detailed in this document, yeah?
[1813.54s -> 1816.48s]  So all the RTs are detailed.
[1816.48s -> 1817.28s]  Ah, OK.
[1817.28s -> 1820.66s]  Then example of an IT service supply chain.
[1820.66s -> 1825.32s]  So for example, KBC Bank, financial entity making use of an IT service.
[1825.32s -> 1831.34s]  So for example, KBC Bank, there is a contractual arrangement number.
[1831.34s -> 1832.94s]  Each contract has a number.
[1832.94s -> 1834.56s]  And then we have a direct provider.
[1839.08s -> 1842.46s]  And then we have the subcontractors.
[1842.46s -> 1843.36s]  OK.
[1843.36s -> 1845.36s]  See?
[1845.36s -> 1848.60s]  So this is blah, blah, blah.
[1848.60s -> 1849.32s]  And then, OK.
[1849.32s -> 1849.82s]  And then?
[1849.82s -> 1850.32s]  Yeah.
[1850.32s -> 1850.82s]  Yeah.
[1850.82s -> 1851.32s]  Yeah.
[1851.32s -> 1851.82s]  Yeah.
[1851.82s -> 1852.32s]  Yeah.
[1852.32s -> 1852.82s]  Yeah.
[1852.82s -> 1853.32s]  Mm-hmm.
[1853.32s -> 1853.82s]  Mm-hmm.
[1853.82s -> 1858.32s]  Chapter one.
[1858.32s -> 1862.32s]  We must integrate all this information into data model.
[1862.32s -> 1862.82s]  Yeah.
[1862.82s -> 1863.32s]  Mm-hmm.
[1863.32s -> 1863.82s]  OK.
[1863.82s -> 1864.32s]  Mm-hmm.
[1864.32s -> 1864.82s]  Yeah.
[1864.82s -> 1866.32s]  Which you have to design.
[1866.32s -> 1868.32s]  And Chris, but that comes tomorrow.
[1868.32s -> 1876.32s]  Tomorrow you sit together with the enterprise architect who knows all the details about this text.
[1876.32s -> 1876.82s]  Yes.
[1876.82s -> 1878.32s]  So let's go to the?
[1878.32s -> 1878.82s]  In the 11?
[1878.82s -> 1879.32s]  Or in here?
[1879.32s -> 1879.82s]  11.
[1879.82s -> 1880.32s]  11.
[1880.32s -> 1880.82s]  11.
[1880.82s -> 1881.32s]  11.
[1881.32s -> 1881.82s]  Yeah.
[1881.82s -> 1883.82s]  So a list of templates.
[1883.82s -> 1884.32s]  Again.
[1884.32s -> 1884.82s]  9.
[1884.82s -> 1886.32s]  1.
[1886.32s -> 1886.82s]  OK.
[1886.82s -> 1892.82s]  And now here you have instructions how you have to complete each of the templates.
[1892.82s -> 1893.32s]  OK.
[1893.32s -> 1900.82s]  So for example, the template RT0101, it's called the entity maintaining the register of information.
[1900.82s -> 1901.32s]  Mm-hmm.
[1901.32s -> 1902.32s]  Yeah.
[1902.32s -> 1902.82s]  OK.
[1902.82s -> 1906.82s]  What is the legal entity identifier of this entity?
[1906.82s -> 1909.82s]  So for example, so all the entities.
[1909.82s -> 1910.82s]  Mm-hmm.
[1910.82s -> 1920.32s]  A certain, more than 30 entities, 31, 32 entities have to report on their contracts.
[1920.32s -> 1920.82s]  Mm-hmm.
[1920.82s -> 1921.82s]  To the regulator.
[1921.82s -> 1922.32s]  Mm-hmm.
[1922.32s -> 1925.32s]  So it's not only one report for KBC group.
[1925.32s -> 1925.82s]  Mm-hmm.
[1925.82s -> 1926.32s]  No.
[1926.32s -> 1928.82s]  It's one report for KBC bank.
[1928.82s -> 1931.82s]  It's a report for KBC asset management.
[1931.82s -> 1933.82s]  It's a report for KBC insurance.
[1933.82s -> 1934.32s]  Insurance.
[1934.32s -> 1934.82s]  Insurance.
[1934.82s -> 1935.32s]  Yeah.
[1935.32s -> 1938.82s]  So all the legal entities have to report solo.
[1938.82s -> 1939.82s]  OK.
[1939.82s -> 1940.82s]  Their contracts.
[1940.82s -> 1945.82s]  And they ask also a sub-consolidated level and a consolidated level.
[1945.82s -> 1946.32s]  Consolidated.
[1946.32s -> 1946.82s]  As well.
[1946.82s -> 1950.82s]  Ultimate KBC group, and then we have to consolidate all this information.
[1950.82s -> 1951.32s]  OK.
[1951.32s -> 1951.82s]  Yeah.
[1951.82s -> 1956.82s]  But all insurance, for example, entity have the same templates?
[1956.82s -> 1957.32s]  Yeah.
[1957.32s -> 1957.82s]  Yeah.
[1957.82s -> 1958.32s]  Yeah.
[1958.32s -> 1958.82s]  Yeah.
[1958.82s -> 1961.32s]  Everybody uses the same, the same template.
[1961.32s -> 1964.32s]  So for example, this is explanation how this template.
[1964.32s -> 1968.32s]  So the code, the name of the entity, it's alphanumeric, the legal name.
[1968.32s -> 1969.82s]  The type of things.
[1969.82s -> 1974.82s]  Country, identify ISO, one alpha, two gold, blah, blah, blah.
[1974.82s -> 1976.82s]  Type of entity.
[1976.82s -> 1978.82s]  We have these options.
