[0.00s -> 29.36s]  I don't know.
[411.58s -> 420.58s]  So for each contract we have to say for which business function is this contract necessary?
[420.58s -> 426.58s]  What kind of IS service is this contract delivering?
[426.58s -> 429.58s]  Is it a critical service or not?
[429.58s -> 436.58s]  If it's critical, then we need all the complete supply chain.
[436.58s -> 440.58s]  It means subcontractors we also need to know.
[440.58s -> 445.58s]  So we have to ask Microsoft, all the subcontractors of Microsoft.
[445.58s -> 448.58s]  Can you imagine how crazy this is?
[448.58s -> 452.58s]  And those subcontractors, they also have subcontractors.
[452.58s -> 454.58s]  So they want to know the whole chain.
[454.58s -> 456.58s]  The supply chain for the subcontractors.
[456.58s -> 457.58s]  Yes.
[457.58s -> 458.58s]  Because the service is critical.
[458.58s -> 459.58s]  Yes.
[459.58s -> 461.58s]  Because only for the critical service.
[461.58s -> 463.58s]  Only for the critical service.
[463.58s -> 465.58s]  So now we are starting an exercise.
[465.58s -> 467.58s]  We are busy with it.
[467.58s -> 474.58s]  To define what are the critical business functions in the company.
[474.58s -> 477.58s]  In the bank, in the insurer, because we are a bank insurer.
[477.58s -> 480.58s]  So bank insurers, asset management, all the business lines.
[480.58s -> 483.58s]  We are investigating what are the business functions.
[483.58s -> 488.58s]  First of all, because on the level of business line,
[488.58s -> 491.58s]  we have 65 business lines defined.
[491.58s -> 493.58s]  It's a very high level.
[493.58s -> 497.58s]  For example, KPC, asset management,
[497.58s -> 503.58s]  who is managing mutual funds, funds, portfolios, investment portfolios, etc.
[503.58s -> 505.58s]  It's only one business line.
[505.58s -> 513.58s]  If you say this is critical, then everything below becomes critical.
[513.58s -> 514.58s]  Okay.
[514.58s -> 517.58s]  Which is in reality not the fact.
[517.58s -> 521.58s]  Because certain functions, certain activities of asset management are critical,
[521.58s -> 523.58s]  but others are not.
[523.58s -> 524.58s]  Okay.
[524.58s -> 526.58s]  So we need a lower level of detail.
[526.58s -> 530.58s]  And sometimes we have it, sometimes we don't have it.
[530.58s -> 532.58s]  And it has to be made.
[532.58s -> 535.58s]  So this exercise which is starting up now.
[535.58s -> 538.58s]  And then if we have this lower level of detail,
[538.58s -> 540.58s]  we can even go more lower.
[540.58s -> 542.58s]  But then at this lower level,
[542.58s -> 546.58s]  you can connect or we have to connect the business applications,
[546.58s -> 548.58s]  the software, the business applications,
[548.58s -> 550.58s]  to the business function.
[550.58s -> 551.58s]  We have to connect it.
[551.58s -> 553.58s]  So for example,
[553.58s -> 556.58s]  Murex, the software Murex,
[556.58s -> 559.58s]  is working for the dealing room.
[559.58s -> 562.58s]  A certain activity in the dealing room.
[562.58s -> 564.58s]  This activity seems to be critical,
[564.58s -> 568.58s]  so Murex is critical for business applications.
[568.58s -> 571.58s]  And then who is the provider of this software?
[571.58s -> 572.58s]  It's Murex.
[572.58s -> 575.58s]  And then we go down.
[575.58s -> 580.58s]  And the criteria to consider some companies are critical.
[580.58s -> 582.58s]  They are.
[582.58s -> 585.58s]  They are in templates, UCB?
[585.58s -> 586.58s]  ECB.
[586.58s -> 587.58s]  ECB.
[587.58s -> 588.58s]  ECB.
[588.58s -> 591.58s]  Well, the definition is very vague.
[591.58s -> 592.58s]  Right.
[592.58s -> 594.58s]  We cannot use it.
[594.58s -> 596.58s]  Yeah.
[596.58s -> 598.58s]  So but that's not your problem.
[598.58s -> 599.58s]  Yeah.
[599.58s -> 601.58s]  It's our problem, of course.
[601.58s -> 603.58s]  But we have to come up.
[603.58s -> 604.58s]  In fact, they say,
[604.58s -> 608.58s]  whatever function,
[608.58s -> 610.58s]  if it stops to work
[610.58s -> 615.58s]  and it endangers the continuity of the service,
[615.58s -> 617.58s]  of your business.
[617.58s -> 618.58s]  It's considered as critical.
[618.58s -> 620.58s]  Then it's considered as critical.
[620.58s -> 621.58s]  Yeah.
[621.58s -> 623.58s]  So, but they are busy with it.
[623.58s -> 625.58s]  Why am I explaining this?
[625.58s -> 628.58s]  Because you will see that,
[628.58s -> 632.58s]  well, you will be building this register of information.
[632.58s -> 634.58s]  This contract register.
[634.58s -> 635.58s]  Yeah.
[635.58s -> 636.58s]  Not building.
[636.58s -> 637.58s]  Making the analysis.
[637.58s -> 638.58s]  Yeah.
[638.58s -> 639.58s]  So you need some context information.
[639.58s -> 640.58s]  That's why I give it to you.
[640.58s -> 641.58s]  Sure.
[641.58s -> 642.58s]  So now they are starting to define what are the critical business functions,
[642.58s -> 643.58s]  which are not.
[643.58s -> 644.58s]  To link the business applications.
[644.58s -> 645.58s]  And below the business applications,
[645.58s -> 646.58s]  either we build them ourselves.
[646.58s -> 647.58s]  It's in-house build.
[647.58s -> 648.58s]  Then it's not in scope of Dora.
[648.58s -> 649.58s]  In-house build.
[649.58s -> 650.58s]  Yeah.
[650.58s -> 651.58s]  Of course, it's in scope of other builders of Dora.
[651.58s -> 652.58s]  But not all of them.
[652.58s -> 653.58s]  Yeah.
[653.58s -> 654.58s]  Yeah.
[654.58s -> 655.58s]  Yeah.
[655.58s -> 656.58s]  Yeah.
[656.58s -> 657.58s]  Yeah.
[657.58s -> 658.58s]  Yeah.
[658.58s -> 659.58s]  Yeah.
[659.58s -> 660.58s]  Yeah.
[660.58s -> 661.58s]  Yeah.
[661.58s -> 662.58s]  Yeah.
[662.58s -> 663.58s]  Yeah.
[663.58s -> 664.58s]  Yeah.
[664.58s -> 665.58s]  So it all.
[665.58s -> 666.58s]  Well, that goes to I.B.M.
[666.58s -> 667.58s]  This is not for the third party.
[667.58s -> 668.58s]  Ah.
[668.58s -> 671.58s]  Or, if you are provided by a vendor, then,
[671.58s -> 678.58s]  of course, we need to connect the contracts to this.
[678.58s -> 679.58s]  To this business application.
[679.58s -> 680.58s]  Yeah.
[680.58s -> 681.58s]  Mm-hmm .
[681.58s -> 686.58s]  And it becomes even more complex because for IBM,
[686.58s -> 689.58s]  we found 48 contracts for one vendor.
[689.58s -> 690.58s]  Forty eight.
[690.58s -> 691.58s]  Forty eight.
[691.58s -> 692.58s]  Yeah.
[692.58s -> 693.58s]  Microsoft Office H power.
[693.58s -> 701.42s]  microsoft even more so we the first thing we have to ask is which of those contracts are relevant
[702.22s -> 710.62s]  to report to the regulator which are relevant yeah which we don't need to report because it
[710.62s -> 717.18s]  was yeah it was one consultant who worked for one month uh to make a presentation of whatever
[717.18s -> 723.82s]  yes it's not it's not relevant it's not connected to a business a particular business function
[724.54s -> 730.38s]  your contract is also it is a pay it's not relevant yeah because if you would have to
[730.38s -> 737.10s]  report all consultants then we have yes it's not possible it's it's but we work together with
[737.10s -> 745.90s]  cognizant indian company who delivers 500 ideas in india yeah yeah this contract is very relevant
[745.90s -> 747.18s]  because if they stop working
[747.18s -> 752.70s]  then we have an issue right yeah because they are doing maintenance of the entire application
[752.70s -> 760.70s]  portfolio so um but we have to decide when it becomes relevant when not it's a decision that
[760.70s -> 770.30s]  has to be taken group risk group legal is involved uh compliance procurement is involved so therefore
[770.94s -> 777.02s]  and because we are talking about many many contracts therefore we must hire a number of
[777.34s -> 785.66s]  legal legal guys yeah so i asked to to look internally if we have some legal guys available
[785.66s -> 790.22s]  we are now looking in bruno in czech republic they have some legal guys
[790.22s -> 797.74s]  there in the shared service center so all of these are things in my program that needs that
[797.74s -> 806.62s]  need to be done so um and to consider some contracts is critical or relevant we need some
[807.98s -> 816.22s]  and this criteria they are written down yeah so we have we have a business impact analysis template
[816.22s -> 825.18s]  yes template and the business function has to be the bia score has to be done for each of the
[825.18s -> 833.26s]  business functions and the bia template is really a template where it asks is your service blah blah
[833.26s -> 836.46s]  if something happens what how big is the loss etc so okay okay so we have a business impact analysis
[837.18s -> 843.82s]  look we have some templates criteria that the people the local operational risk managers in each
[843.82s -> 850.30s]  business department must fill must use the bia template fill it in okay and the outcome will say
[850.30s -> 857.58s]  it's if it's critical or not okay so this is an exercise that needs to happen now yes yeah they do
[857.58s -> 863.02s]  it every year but now they have changed the template they have adapted the template to the dora
[863.82s -> 867.10s]  okay legislation and of dora legislation we have
[867.18s -> 872.62s]  some templates with all these criteria okay because dora doesn't give
[873.42s -> 879.98s]  any template for the criteria we have to do it ourselves dora says it's your responsibility
[879.98s -> 888.54s]  it's you who is best placed to see if something is critical or not we cannot do it as a regulator
[888.54s -> 895.18s]  we cannot say this is critical for you because for example leasing car leasing
[897.18s -> 902.86s]  is a big part of our business we can say okay this is critical for us we can say this is critical for
[902.86s -> 906.62s]  us we can say this is critical for us we can say this is critical for the company so we can say
[906.62s -> 912.54s]  it's not critical in belgium but it is critical in slovak republic because it's a very big part
[912.54s -> 919.26s]  of their business okay so the regulator doesn't know this information so he can say there are
[919.26s -> 925.42s]  certain activities which have to be critical and we call them
[925.42s -> 937.98s]  information uh so yes no problem so srb um is a regulation from years ago where the ecb wanted to
[937.98s -> 948.86s]  know if something serious happens with kbc or with any systemic bank important bank important means
[948.86s -> 956.78s]  if the bank stops working it endangers the economy of a country if kbc stops working tomorrow for
[956.78s -> 964.06s]  example something happens a run on the bank you don't have enough money anymore blah blah blah
[964.06s -> 971.50s]  yeah then the economy is destabilized because people cannot lend money anymore
[972.62s -> 978.22s]  enterprises will stop working no credits etc etc so ecb said
[979.18s -> 989.82s]  uh we want to know all the activities that we have to take over in case kbc comes into problems
[990.38s -> 1002.30s]  okay so if kbc is not um cannot continue its its service anymore for some reason
[1003.26s -> 1008.54s]  the regulator will appoint another bank to take over
[1009.18s -> 1017.50s]  the most critical activities ah okay so that the the economy and the financial system can continue
[1017.50s -> 1022.86s]  okay it's not destabilized yeah so for example if belfius comes into a problem
[1022.86s -> 1029.82s]  then the ecb will appoint another bank you kbc or you bmp paribas or ing
[1030.46s -> 1036.54s]  you will continue with the services of belfius which are the least impact analysis yes
[1037.34s -> 1038.14s]  yeah so
[1038.86s -> 1046.30s]  these activities which are which are known these main most important activities they are known
[1047.02s -> 1052.46s]  dora says these activities at least are also critical for dora
[1054.54s -> 1059.34s]  but we need more activities critical because these are only
[1060.06s -> 1068.38s]  in case of major disaster we have to take over the the company the bank these activities are very
[1068.86s -> 1073.58s]  important for us at the company uh you use it for many reasons you understand that but we suppose
[1073.58s -> 1079.58s]  there are other activities that are also critical yeah but not vital to the the system
[1081.42s -> 1090.14s]  but vital for your existence of the company so this uh is now busy yeah it started up it's uh
[1090.14s -> 1094.54s]  we have a deloitte on it also to support us in this uh exercise
[1095.34s -> 1097.18s]  um yes and the outcome
[1097.18s -> 1106.18s]  will have a big impact on the level of detail that will be in the register of information.
[1106.18s -> 1111.18s]  Because for each critical business function we need this whole supply chain and other
[1111.18s -> 1123.18s]  details that we don't need in non-critical business functions.
[1123.18s -> 1132.18s]  For the analysis, this is Teams.
[1132.18s -> 1138.18s]  I don't know if you are familiar with Microsoft Teams.
[1138.18s -> 1144.18s]  Yes, I think it's clear.
[1144.18s -> 1150.18s]  So we have here Teams site DORA implementation.
[1150.18s -> 1153.18s]  You are already part of this.
[1153.18s -> 1162.18s]  You are already a member.
[1162.18s -> 1165.18s]  Can I search my BC to connect?
[1165.18s -> 1167.18s]  No?
[1167.18s -> 1170.18s]  I will search my...
[1170.18s -> 1174.18s]  You are here.
[1174.18s -> 1176.18s]  So I am a member of this site.
[1176.18s -> 1178.18s]  I made you a member of this site.
[1178.18s -> 1181.18s]  It's a SharePoint website.
[1181.18s -> 1182.18s]  It's SharePoint.
[1182.18s -> 1183.18s]  Yes.
[1183.18s -> 1187.18s]  So if we go then to files here.
[1187.18s -> 1190.18s]  We have a lot of folders.
[1190.18s -> 1191.18s]  I will search my BC.
[1191.18s -> 1192.18s]  Yes.
[1192.18s -> 1195.18s]  Yes sir.
[1195.18s -> 1200.18s]  .
[1200.18s -> 1209.18s]  .
[1209.18s -> 1210.18s]  .
[1210.18s -> 1211.18s]  .
[1211.18s -> 1212.18s]  .
[1212.18s -> 1217.18s]  .
[1217.18s -> 1218.18s]  .
[1218.18s -> 1223.18s]  .
[1223.18s -> 1230.18s]  .
[1230.18s -> 1231.18s]  .
[1231.18s -> 1232.18s]  .
[1232.18s -> 1233.18s]  .
[1233.18s -> 1234.18s]  .
[1234.18s -> 1237.18s]  .
[1237.18s -> 1238.18s]  .
[1238.18s -> 1239.18s]  .
[1239.18s -> 1240.18s]  .
[1240.18s -> 1241.18s]  .
[1241.18s -> 1255.18s]  okay
[1258.86s -> 1269.18s]  and
[1271.18s -> 1281.18s]  so
[1281.18s -> 1291.18s]  so
[1301.18s -> 1311.18s]  so
[1311.18s -> 1321.18s]  so
[1331.18s -> 1345.18s]  media token
[1357.18s -> 1359.18s]  uh
[1361.18s -> 1373.18s]  uh
[1385.82s -> 1389.18s]  okay
[1391.18s -> 1395.18s]  uh
[1395.18s -> 1397.18s]  uh
[1397.18s -> 1399.18s]  uh
[1399.18s -> 1401.18s]  uh
[1401.18s -> 1403.18s]  uh
[1403.18s -> 1405.18s]  uh
[1405.18s -> 1407.18s]  uh
[1407.18s -> 1409.18s]  uh
[1409.18s -> 1411.18s]  uh
[1411.18s -> 1413.18s]  uh
[1413.18s -> 1415.18s]  uh
[1415.18s -> 1417.18s]  uh
[1417.18s -> 1419.18s]  uh
[1419.18s -> 1421.18s]  uh yeah okay
[1421.18s -> 1423.18s]  uh
[1423.18s -> 1425.18s]  uh
[1425.18s -> 1427.18s]  okay
[1427.18s -> 1429.18s]  uh
[1429.18s -> 1431.18s]  okay
[1431.18s -> 1433.18s]  uh
[1433.18s -> 1435.18s]  yeah
[1435.18s -> 1437.18s]  record my screen
[1437.18s -> 1439.18s]  uh
[1439.18s -> 1441.18s]  okay
[1441.18s -> 1443.18s]  okay
[1443.18s -> 1445.18s]  okay
[1445.18s -> 1447.18s]  okay
[1447.18s -> 1449.18s]  um
[1449.18s -> 1451.18s]  um
[1451.18s -> 1460.30s]  uh just to record my screen because in purple point we can have for me we can be just at the
[1460.30s -> 1486.78s]  screen
[1487.02s -> 1489.74s]  maybe your access rights are not yet
[1491.26s -> 1498.78s]  uh wait okay look this is the one that you got access from me
[1517.02s -> 1518.78s]  let's see
[1520.86s -> 1523.42s]  but you're on a politician yeah but it's
[1526.22s -> 1532.78s]  you know
[1537.74s -> 1546.78s]  you are part of this thing
[1547.42s -> 1550.22s]  oh it's really strange why i don't get
[1551.26s -> 1554.94s]  these yeah you are a member of this
[1561.42s -> 1564.70s]  but maybe if you are and then he has already
[1564.70s -> 1567.26s]  exists
[1571.26s -> 1577.26s]  um
[1577.26s -> 1579.26s]  i'm already
[1580.62s -> 1586.14s]  no no right okay okay yes now it's there
[1587.26s -> 1595.90s]  super files yes down yeah excuse me oh wait wait wait wait okay so
[1595.90s -> 1597.42s]  regulations and directors
[1600.46s -> 1609.34s]  you got the folder uh if you then just yeah then modify you to older when you see the latest
[1610.30s -> 1624.58s]  so these are the legal texts so the ones who are important for you is this one
[1624.58s -> 1630.02s]  the final report on the draft implementation technical standard how
[1630.02s -> 1635.14s]  you should implement the register of information so this text we have to read
[1635.14s -> 1644.98s]  okay from the beginning till the end okay you can print it out whatever you
[1644.98s -> 1664.30s]  do so okay this is blah blah yeah and then okay so here you see for example
[1664.30s -> 1664.50s]  how
[1665.14s -> 1672.52s]  they defined the relational model for the different each RT is a template each
[1672.52s -> 1677.32s]  art is a template that we have to be able to deliver will be an RP in
[1677.32s -> 1682.16s]  central bank I'm just what one more question these don't play it's all this
[1682.16s -> 1684.64s]  top legs
[1685.46s -> 1694.90s]  provided by ECB yeah this document PCB you see me but you could say all we make
[1694.90s -> 1695.04s]  it
[1695.04s -> 1695.10s]  template it's a template that we have to be able to deliver but you could say all we make it
[1695.10s -> 1695.12s]  template it's a template that we have to be able to deliver but you could say all we make it
[1695.12s -> 1703.66s]  we make just a table, a table for each template and then we have it, or then we are not, because
[1703.66s -> 1711.68s]  you have a contract template and they mention the vendor name, the name of the vendor, for
[1711.68s -> 1714.60s]  all the information of this vendor.
[1714.60s -> 1718.36s]  So for each contract we are going to double all this information?
[1718.36s -> 1719.46s]  No.
[1719.46s -> 1726.62s]  So we will have probably a table for vendor information and we'll just refer with an ID
[1726.62s -> 1731.36s]  of this vendor in the contract and not repeat vendor provider.
[1731.36s -> 1732.36s]  For example?
[1732.36s -> 1733.36s]  Microsoft.
[1733.36s -> 1735.64s]  Microsoft, okay.
[1735.64s -> 1745.12s]  So Microsoft has a unique legal entity identifier, it's a number, like tax number, VAT number.
[1745.12s -> 1746.12s]  Unique.
[1746.12s -> 1747.12s]  It is a unique number.
[1747.12s -> 1748.12s]  Information.
[1748.12s -> 1749.12s]  To be notified the vendor.
[1749.12s -> 1749.42s]  Yes.
[1749.42s -> 1753.58s]  To be identified because you have Microsoft in the States and Microsoft in Belgium are
[1753.58s -> 1761.06s]  different legal entities, so each legal entity has a unique number, which is a key, and in
[1761.06s -> 1766.02s]  the contract we can refer to this number, but then in another table, this is your data
[1766.02s -> 1772.66s]  modeling that you have to do, in another table we will have then all the information of Microsoft
[1772.66s -> 1779.08s]  as a provider, as a vendor, not related to the contract, but just where is Microsoft,
[1779.08s -> 1780.08s]  which country, blah, blah, blah, et cetera.
[1780.08s -> 1781.08s]  And all this information, I must search after this information on the internet or with some...
[1781.08s -> 1782.08s]  No, no, you will get it.
[1782.08s -> 1783.08s]  Okay.
[1783.08s -> 1784.08s]  You will get the information.
[1784.08s -> 1785.08s]  Perfect.
[1785.08s -> 1786.08s]  Yes.
[1786.08s -> 1787.08s]  So this is just structure that they say, okay, you can read it, blah, blah, blah.
[1787.08s -> 1788.08s]  These are then the different templates with some very small description.
[1788.08s -> 1789.08s]  Yes.
[1789.08s -> 1790.08s]  This template is different.
[1790.08s -> 1791.08s]  Yes.
[1791.08s -> 1792.08s]  Yes.
[1792.08s -> 1793.08s]  Yes.
[1793.08s -> 1794.08s]  Yes.
[1794.08s -> 1795.08s]  Yes.
[1795.08s -> 1796.08s]  Yes.
[1796.08s -> 1797.08s]  Yes.
[1797.08s -> 1798.08s]  Yes.
[1798.08s -> 1799.08s]  Yes.
[1799.08s -> 1800.08s]  Yes.
[1800.08s -> 1801.08s]  Yes.
[1801.08s -> 1802.08s]  Yes.
[1802.08s -> 1803.08s]  Yes.
[1803.08s -> 1804.08s]  Yes.
[1804.08s -> 1805.08s]  Yes.
[1805.08s -> 1806.08s]  Yes.
[1806.08s -> 1807.08s]  Yes.
[1807.08s -> 1808.08s]  Yes.
[1808.08s -> 1809.08s]  Yes.
[1809.08s -> 1810.08s]  Yes.
[1810.08s -> 1811.08s]  Yes.
[1811.08s -> 1812.08s]  Yes.
[1812.08s -> 1813.08s]  Yes.
[1813.08s -> 1814.08s]  Yes.
[1814.08s -> 1815.08s]  Okay.
[1815.08s -> 1816.08s]  Then this is...
[1816.08s -> 1817.08s]  It is first detailed in this document, yes?
[1817.08s -> 1818.08s]  Right.
[1818.08s -> 1819.08s]  So all the RTs are detailed.
[1819.08s -> 1820.08s]  Ah, okay.
[1820.08s -> 1821.08s]  Then example of an IT service supply chain.
[1821.08s -> 1825.96s]  So for example, KBC Bank, financial entity making use of an IT service.
[1825.96s -> 1831.18s]  So for example, KBC Bank, there is a contractual arrangement number, right?
[1831.18s -> 1834.84s]  Each contract has a number and then we have a direct provider.
[1834.84s -> 1835.98s]  Yes.
[1835.98s -> 1837.84s]  And then a limited contractor, right?
[1837.84s -> 1838.84s]  Yes.
[1838.84s -> 1852.36s]  and then we have the subcontractors yeah okay see so this is uh blah blah and then okay um yeah yeah
[1856.60s -> 1861.88s]  chapter one we must integrate all these informations in the data model
[1861.88s -> 1869.32s]  now which you have to design increase but that comes tomorrow tomorrow you
[1869.32s -> 1874.36s]  sit together with the enterprise architect who knows all the details about these text
[1876.44s -> 1883.96s]  yes so let's go to 11 or 11. yeah so list of templates again
[1886.44s -> 1891.80s]  okay and now here you have instructions how you have to complete each
[1891.88s -> 1899.48s]  of the templates. So, for example, the template RT0101 is called the entity maintaining the
[1899.48s -> 1907.32s]  register of information. What is the legal entity identifier of this entity? So, for
[1907.32s -> 1920.78s]  example, all the entities, more than 30 entities, 31, 32 entities have to report on their contracts
[1920.78s -> 1929.02s]  to the regulator. So, it's not only one report for KBC Group, no, it's one report for KBC Bank,
[1929.02s -> 1936.40s]  it's a report for KBC Asset Management, it's a report for KBC Insurance. So, all the legal
[1936.40s -> 1944.88s]  entities have to report, solo, their contracts and they ask also a sub-consolidated level
[1944.88s -> 1950.72s]  and a consolidated level. Ultimate KBC Group and we have to consolidate all this information.
[1950.72s -> 1950.74s]  Okay.
[1950.78s -> 1956.42s]  Okay. But all insurance, for example, entities have the same templates?
[1956.42s -> 1962.40s]  Yeah, yeah, yeah. Everybody uses the same, the same template. So, for example, this is
[1962.40s -> 1968.02s]  the explanation how this template. So, the code, the name of the entity, it's alphanumeric,
[1968.02s -> 1975.08s]  the legal name, the type of country, identify ISO, one alpha, two code, blah, blah, blah,
[1975.08s -> 1980.78s]  type of entity. You have these options. It's a credit institution, it's a payment institution,
[1980.78s -> 1986.42s]  electronic money, investment firm, crypto. Okay.
[1986.42s -> 1995.42s]  Okay. That's type of the entity. It goes further here. Yeah. Then, competent authority. Under
[1995.42s -> 2001.24s]  which authority falls this identified competent authority according to? So, for example,
[2001.24s -> 2005.62s]  we fall under the, I think, EBA or something like that.
[2005.62s -> 2006.62s]  Okay.
[2006.62s -> 2007.62s]  Okay.
[2007.62s -> 2008.62s]  Okay.
[2008.62s -> 2009.62s]  Okay.
[2009.62s -> 2010.62s]  Okay.
[2010.62s -> 2011.62s]  So, who is regulating your entity?
[2011.62s -> 2012.62s]  ...
[2012.62s -> 2013.62s]  ...
[2013.62s -> 2014.62s]  ...
[2014.62s -> 2015.62s]  ...
[2015.62s -> 2016.62s]  ...
[2016.62s -> 2021.26s]  Asset management is FSMA, etc. But, okay, we have to look in this article.
[2021.26s -> 2026.94s]  Date of reporting, when is the date of your report? Okay. Then, next template. And it
[2026.94s -> 2033.60s]  goes for every template. Every template, they describe how you should fill it in.
[2033.60s -> 2034.60s]  ...
[2034.60s -> 2035.60s]  Uh-huh. Okay.
[2035.60s -> 2036.60s]  ...
